rank,regex,f1_val,acc_val,f1_tr,acc_tr,score,len,ops,star,plus,qmark,union,groups,tp_val,fp_val,fn_val,tn_val
1,^bb$,0.6667,0.6667,0.0000,0.4545,0.596000,2,0,0,0,0,0,0,1,0,1,1
2,^aba$,0.6667,0.6667,0.0000,0.4545,0.594000,3,0,0,0,0,0,0,1,0,1,1
3,^(?:a|b)*$,0.8000,0.6667,0.7059,0.5455,0.577333,8,5,1,0,1,1,2,2,1,0,0
4,^(?:a|b)+$,0.8000,0.6667,0.7059,0.5455,0.577333,8,5,0,1,1,1,2,2,1,0,0
5,^b*$,0.6667,0.6667,0.5000,0.6364,0.576000,2,1,1,0,0,0,0,1,0,1,1
